n,k_typ,algorytm,avg_porownania,avg_przestawienia
6200,2,RAND_SELECT,17314,16969
6200,3,SELECT,48325,53895
6200,3,RAND_SELECT,21027,20352
6200,4,SELECT,48553,54179
6200,4,RAND_SELECT,19073,20292
6200,5,SELECT,48351,53958
6200,5,RAND_SELECT,11829,12416
6300,1,SELECT,49117,54746
6300,1,RAND_SELECT,12821,13095
6300,2,SELECT,48919,54487
6300,2,RAND_SELECT,20138,20097
6300,3,SELECT,48113,53623
6300,3,RAND_SELECT,21302,22485
6300,4,SELECT,49197,54883
6300,4,RAND_SELECT,20648,20003
6300,5,SELECT,49219,54947
6300,5,RAND_SELECT,12652,12616
6400,1,SELECT,50139,55850
6400,1,RAND_SELECT,12926,13108
6400,2,SELECT,49966,55696
6400,2,RAND_SELECT,19137,18471
6400,3,SELECT,49859,55556
6400,3,RAND_SELECT,22198,21448
6400,4,SELECT,49716,55439
6400,4,RAND_SELECT,20902,21251
6400,5,SELECT,49906,55705
6400,5,RAND_SELECT,12143,12815
6500,1,SELECT,50780,56542
6500,1,RAND_SELECT,12673,12404
6500,2,SELECT,50173,55892
6500,2,RAND_SELECT,19658,20437
6500,3,SELECT,50901,56779
6500,3,RAND_SELECT,22788,21540
6500,4,SELECT,50321,56132
6500,4,RAND_SELECT,20588,21064
6500,5,SELECT,50685,56560
6500,5,RAND_SELECT,13320,13018
6600,1,SELECT,51647,57492
6600,1,RAND_SELECT,13145,13142
6600,2,SELECT,50747,56520
6600,2,RAND_SELECT,21493,22968
6600,3,SELECT,51110,56918
6600,3,RAND_SELECT,22167,22228
6600,4,SELECT,51397,57332
6600,4,RAND_SELECT,20843,20729
6600,5,SELECT,51559,57530
6600,5,RAND_SELECT,12469,13215
6700,1,SELECT,52489,58448
6700,1,RAND_SELECT,13135,12922
6700,2,SELECT,52474,58458
6700,2,RAND_SELECT,20820,21216
6700,3,SELECT,52384,58400
6700,3,RAND_SELECT,23499,23039
6700,4,SELECT,52306,58247
6700,4,RAND_SELECT,20803,21623
6700,5,SELECT,52331,58437
6700,5,RAND_SELECT,12906,13416
6800,1,SELECT,52991,58960
6800,1,RAND_SELECT,12997,12450
6800,2,SELECT,52730,58700
6800,2,RAND_SELECT,20672,20528
6800,3,SELECT,53429,59523
6800,3,RAND_SELECT,21867,22624
6800,4,SELECT,52856,58891
6800,4,RAND_SELECT,22435,21135
6800,5,SELECT,52728,58791
6800,5,RAND_SELECT,12495,13615
6900,1,SELECT,53943,60060
6900,1,RAND_SELECT,14107,14472
6900,2,SELECT,53798,59885
6900,2,RAND_SELECT,19960,19767
6900,3,SELECT,53795,59929
6900,3,RAND_SELECT,22674,20328
6900,4,SELECT,53967,60130
6900,4,RAND_SELECT,20167,20402
6900,5,SELECT,53980,60234
6900,5,RAND_SELECT,12390,13816
7000,1,SELECT,54490,60616
7000,1,RAND_SELECT,14146,14354
7000,2,SELECT,55218,61521
7000,2,RAND_SELECT,21685,21275
7000,3,SELECT,54960,61179
7000,3,RAND_SELECT,23525,23692
7000,4,SELECT,54946,61226
7000,4,RAND_SELECT,23130,23444
7000,5,SELECT,54469,60720
7000,5,RAND_SELECT,14829,14017
7100,1,SELECT,55605,61855
7100,1,RAND_SELECT,13828,13514
7100,2,SELECT,55293,61529
7100,2,RAND_SELECT,22512,22502
7100,3,SELECT,55343,61622
7100,3,RAND_SELECT,22643,22074
7100,4,SELECT,55328,61674
7100,4,RAND_SELECT,21575,21610
7100,5,SELECT,55491,61871
7100,5,RAND_SELECT,13614,14215
7200,1,SELECT,56409,62744
7200,1,RAND_SELECT,13417,12490
7200,2,SELECT,56348,62713
7200,2,RAND_SELECT,21731,21609
7200,3,SELECT,56382,62809
7200,3,RAND_SELECT,24391,24022
7200,4,SELECT,56074,62487
7200,4,RAND_SELECT,23956,24507
7200,5,SELECT,56344,62803
7200,5,RAND_SELECT,14227,14416
7300,1,SELECT,57093,63474
7300,1,RAND_SELECT,14126,13709
7300,2,SELECT,56940,63361
7300,2,RAND_SELECT,21383,21167
7300,3,SELECT,56990,63442
7300,3,RAND_SELECT,24114,23313
7300,4,SELECT,57098,63578
7300,4,RAND_SELECT,22259,23544
7300,5,SELECT,57221,63811
7300,5,RAND_SELECT,14023,14616
7400,1,SELECT,57995,64528
7400,1,RAND_SELECT,14055,13366
7400,2,SELECT,57311,63780
7400,2,RAND_SELECT,23651,23511
7400,3,SELECT,57631,64171
7400,3,RAND_SELECT,23168,23434
7400,4,SELECT,58160,64801
7400,4,RAND_SELECT,23004,23592
7400,5,SELECT,57863,64515
7400,5,RAND_SELECT,16145,14816
7500,1,SELECT,58785,65372
7500,1,RAND_SELECT,16301,17657
7500,2,SELECT,58579,65188
7500,2,RAND_SELECT,22397,22000
7500,3,SELECT,57655,64168
7500,3,RAND_SELECT,24004,24594
7500,4,SELECT,58800,65480
7500,4,RAND_SELECT,23728,22031
7500,5,SELECT,58489,65178
7500,5,RAND_SELECT,14890,15016
7600,1,SELECT,59731,66422
7600,1,RAND_SELECT,14569,13999
7600,2,SELECT,59407,66102
7600,2,RAND_SELECT,24546,24177
7600,3,SELECT,59010,65716
7600,3,RAND_SELECT,23902,22649
7600,4,SELECT,59531,66294
7600,4,RAND_SELECT,24037,24805
7600,5,SELECT,59806,66677
7600,5,RAND_SELECT,15173,15216
7700,1,SELECT,60420,67164
7700,1,RAND_SELECT,15808,16273
7700,2,SELECT,60524,67323
7700,2,RAND_SELECT,24387,23841
7700,3,SELECT,60508,67340
7700,3,RAND_SELECT,26237,24050
7700,4,SELECT,60108,66905
7700,4,RAND_SELECT,26963,26495
7700,5,SELECT,60446,67342
7700,5,RAND_SELECT,16937,15417
7800,1,SELECT,61416,68325
7800,1,RAND_SELECT,14785,14029
7800,2,SELECT,61453,68364
7800,2,RAND_SELECT,23591,23847
7800,3,SELECT,61612,68574
7800,3,RAND_SELECT,26708,26021
7800,4,SELECT,60920,67852
7800,4,RAND_SELECT,23108,22928
